order_id,order_date,customer_region,revenue_usd,load_timestamp
ORD-1001,2026-08-02,US-East,245.50,2026-08-03T09:15:00Z
ORD-1002,2026-08-02,US-West,132.00,2026-08-03T09:20:00Z
ORD-1003,2026-08-02,EU-Central,89.99,2026-08-03T10:05:00Z
ORD-1004,2026-08-02,,410.25,2026-08-03T10:30:00Z
ORD-1005,2026-08-02,APAC,76.40,2026-08-03T11:00:00Z
ORD-1006,2026-08-01,US-East,-55.00,2026-08-03T11:45:00Z
ORD-1007,2026-08-01,EU-West,198.75,2026-08-03T12:10:00Z
ORD-1008,2026-08-01,US-West,312.60,2026-08-03T12:50:00Z
ORD-1009,2026-07-31,APAC,145.20,2026-07-31T14:00:00Z
ORD-1010,2026-08-02,EU-Central,267.30,2026-08-03T13:15:00Z
ORD-1010,2026-08-02,EU-Central,267.30,2026-08-03T13:15:00Z
ORD-1011,2026-08-02,US-East,522.10,2026-08-03T14:00:00Z
